Date,returns,dd_10,sortino_20,sortino_60,target_returns_20
1960-01-05,0.0079800846640969,0.0020418277082513,0.2582632261104431,0.0819725126499781,-0.060935147157858
1960-01-06,-0.0043146153980684,0.0019722755608053,0.3446281387341747,0.1044932391778626,-0.0654591963837267
1960-01-07,-0.0073444236414053,0.0022081733192772,0.2744148891594629,0.0893763838778777,-0.0590029375931884
1960-01-08,-0.0031881666219204,0.0028568748924741,0.1652090874720443,0.0650045711517295,-0.0609818366415488
1960-01-11,-0.0123447841379542,0.002880251225378,0.1241127815515775,0.054553840616513,-0.0604970271336267
1960-01-12,-0.0061444229737706,0.0042362305115927,-0.0101154767656325,0.0165794544658602,-0.0449966442531515
1960-01-13,-0.0056657033968958,0.004390005753837,-0.0632923161235319,-0.0011504777217595,-0.0456185474570594
1960-01-14,0.005494513919281,0.0044867812829281,-0.1090098773592838,-0.0171925550889994,-0.0567153416425538
1960-01-15,-0.0003425322403654,0.0043339450411202,-0.0617686885945819,-0.0023046123182067,-0.0513113600421331
1960-01-18,-0.0084287361742649,0.0041872532876886,-0.0651170140449728,-0.0036625565703732,-0.0481253534525931
1960-01-19,-0.0107677131487688,0.0045952723999044,-0.1295667972908175,-0.0269252946327954,-0.0453649376070544
1960-01-20,-0.0034983551976228,0.005240879396116,-0.1962906282280666,-0.0546376141991892,-0.0364001103120577
1960-01-21,0.0024501130762901,0.0051426667489663,-0.2184636860415732,-0.0637178360364272,-0.0249548365629976
1960-01-22,0.0029671368904713,0.0049674886403804,-0.1970843500905033,-0.0571128625246231,-0.0200675518208592
1960-01-25,-0.0105116996219809,0.0047982777412649,-0.1716366016329432,-0.0490432964693185,-0.0149044663215462
1960-01-26,0.0014079874111381,0.0053741261179837,-0.2307948419357362,-0.0748495102731269,-0.0198940647909102
1960-01-27,-0.0024652132117051,0.0051910636535843,-0.2174889971287411,-0.0709490671985923,-0.0140259894555514
1960-01-28,-0.010456455762017,0.005054656208308,-0.2320913267001739,-0.0771411929606931,0.0005343090171159
1960-01-29,-0.0093073958083742,0.0055821658502034,-0.2833747891135752,-0.1013163532102753,0.0091291840265137
1960-02-01,0.0062740812618473,0.0059055090715029,-0.3253340753811785,-0.1220086528831536,0.0008930828175781
1960-02-02,0.0152512376182283,0.0057043457529599,-0.2781115685749306,-0.1056735445168407,-0.0213455414530994
1960-02-03,-0.0088386646239371,0.0055100347955321,-0.1689191127859214,-0.0664423669610081,-0.0277245648799882
1960-02-04,-0.0008881648508669,0.0057930068891543,-0.2172206185829935,-0.0871065216782451,-0.0306772659745484
1960-02-05,-0.0051670656702809,0.0056003940743888,-0.2203770033405553,-0.0891141322167739,-0.0356401190715991
1960-02-08,-0.011859974630032,0.0055724281987303,-0.248570068823074,-0.1012005539884544,-0.0340137294896809
1960-02-09,0.0093559599067045,0.0061961287714429,-0.2988639320887533,-0.1259692273293381,-0.0327659311530492
1960-02-10,-0.0062876066008037,0.0059850658790332,-0.2345649456084907,-0.1024639448401708,-0.0303718879975329
1960-02-11,-0.0056022802662134,0.0060058022738917,-0.2659299452158596,-0.1164136225891569,-0.0171818997423667
1960-02-12,0.0050614493600553,0.0059796303953988,-0.2930746059981632,-0.1288471205815785,-0.0207695460474162
1960-02-15,-0.005242729584725,0.005775942232459,-0.256240059653341,-0.1159920645802844,-0.0078245598199604
1960-02-16,-0.0080072973032301,0.0057417817557838,-0.2824391231052888,-0.1276586101949082,0.0056482134671513
1960-02-17,0.0054664720973738,0.0059206415610739,-0.3185800907922306,-0.1445725701166791,-0.0012728376331372
1960-02-18,0.0138953868253501,0.0057189627743836,-0.2789271501884602,-0.1307989869795041,-0.014258899339179
1960-02-19,0.0078544216326097,0.005524153907546,-0.184126819900838,-0.0963785928051638,-0.0210231796143318
1960-02-23,-0.0053486141226679,0.0053359809458708,-0.1296649587811144,-0.0768552094079011,-0.0116875863159728
1960-02-24,-0.0035816110582258,0.0053368278861929,-0.1616884848279203,-0.0893605712994659,0.0
1960-02-25,0.0034028621236537,0.0052376945428216,-0.1826850640250431,-0.0977668144503409,0.0008935616201508
1960-02-26,0.0041038427106503,0.0050592794387228,-0.1574178488710594,-0.0891765419332399,-0.0032102810904994
1960-02-29,-0.0007125207989764,0.0048869418080448,-0.1273322710295597,-0.0788463912860801,-0.0046436647580767
1960-03-01,-0.0019620199470882,0.0047240743998342,-0.1312957546214255,-0.0805854388118721,-0.0041148559393713
1960-03-02,-0.0069873866524492,0.0045913152043031,-0.143876121089494,-0.0853718360447424,0.0007189237542952
1960-03-03,-0.0152176880508259,0.0047893702719645,-0.1865255564135104,-0.1015759782788607,0.0101708355648648
1960-03-04,-0.0038408659454272,0.0060753651498226,-0.252539366223181,-0.1314259450471905,0.0156366933315523
1960-03-07,-0.0101299187673316,0.0059519928948943,-0.2708508499044134,-0.1395797236554106,0.0277491415243251
1960-03-08,-0.0102335850481138,0.006318676133792,-0.3128058535069864,-0.1592051719862099,0.0349171397540484
1960-03-09,0.0106037582433362,0.0066532075022284,-0.3510612551944906,-0.1781107187056427,0.0446930539059726
1960-03-10,-0.0038935634452874,0.0064265748302777,-0.2836656016165831,-0.1529823533302535,0.0487635993271
1960-03-11,0.0075877079889528,0.0062889011458927,-0.3004832028389625,-0.160817418032404,0.0388731524180112
1960-03-14,0.0014738030550058,0.0060746780858349,-0.2504438973375064,-0.1425782292334053,0.0334902963135657
1960-03-15,0.0077022566427307,0.0058677522496315,-0.237904763708666,-0.1385649574898977,0.0280997873192614
